matchup,round,opening_index,engine_a,engine_b,engine_a_family,engine_b_family,engine_a_rating,engine_b_rating,engine_a_color,white,black,result,engine_a_score,termination,plies,config_hash,opening_suite,source_pgn
maia2-1100__vs__maia2-1300,32,16,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,61,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,33,17,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1-0,1.0,checkmate,91,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,34,17,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,0-1,1.0,checkmate,130,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,35,18,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,stalemate,100,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,36,18,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,0-1,1.0,checkmate,60,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,37,19,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,0-1,0.0,checkmate,72,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,38,19,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,stalemate,97,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,39,20,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,0-1,0.0,checkmate,124,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,40,20,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1-0,0.0,checkmate,107,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,41,21,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,63,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,42,21,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,44,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,43,22,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,45,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,44,22,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,76,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,45,23,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,0-1,0.0,checkmate,48,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,46,23,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,87,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,47,24,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,54,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
